film,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Released_Year,Runtime,IMDB_Rating,No_of_Votes,Gross,budget,revenue,popularity
The Prestige,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,2006.0,130,8.5,1190259,53089891,40000000,109676311,74.440708
The Revenant,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2015.0,156,8.0,705589,183637894,135000000,532950503,100.635882
The Social Network,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2010.0,120,7.7,624982,96962694,40000000,224920315,69.27822
The Terminator,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1984.0,107,8.0,799795,38400000,6400000,78371200,74.234793
The Theory of Everything,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2014.0,123,7.7,404182,35893537,15000000,123726688,61.182331
The Thing,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,1982.0,109,8.1,371271,13782838,15000000,19629760,52.731379
The Usual Suspects,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1995.0,106,8.5,991208,23341568,6000000,23341568,64.025031
The Wizard of Oz,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,1939.0,102,8.0,371379,2076020,2777000,33754967,67.417542
The Wolf of Wall Street,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013.0,180,8.2,1187498,116900694,100000000,392000694,95.007934
The Wrestler,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2008.0,109,7.9,289415,26236603,6000000,44703995,40.196514
Titanic,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1997.0,194,7.8,1046089,659325379,200000000,1845034188,100.025899
Toy Story 2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1999.0,92,7.9,527512,245852179,90000000,497366869,73.575118
Toy Story 3,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2010.0,103,8.2,757032,415004880,200000000,1066969703,59.995418
Trainspotting,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1996.0,93,8.1,634716,16501785,4000000,16491080,63.513324
True Grit,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2010.0,110,7.6,311822,171243005,38000000,252276927,49.292384
V for Vendetta,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2005.0,132,8.2,1032749,70511035,54000000,132511035,84.630969
WALL·E,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2008.0,98,8.4,999790,223808164,180000000,521311860,66.390712
Warrior,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2011.0,140,8.2,435950,13657115,25000000,23057115,51.915025
Watchmen,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2009.0,162,7.6,500799,107509799,130000000,185258983,64.798873
Whiplash,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2014.0,106,8.5,717585,13092000,3300000,13092000,192.528841
Wreck-It Ralph,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2012.0,101,7.7,380195,189422889,165000000,471222889,62.341073
X-Men: Days of Future Past,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2014.0,132,7.9,659763,233921534,250000000,747862775,118.078691
Zombieland,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2009.0,88,7.6,520041,75590286,23600000,102391382,57.300674
