film,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Released_Year,Runtime,IMDB_Rating,No_of_Votes,Gross,budget,revenue,popularity
Das Boot,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1981.0,149,8.3,231855,11487676,14000000,85000000,26.967494
Dawn of the Dead,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1978.0,127,7.9,111512,5100000,28000000,102356381,44.529429
Dawn of the Planet of the Apes,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014.0,130,7.6,411599,208545589,170000000,710644566,243.791743
Deadpool,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2016.0,108,8.0,902669,363070709,58000000,783112979,514.569956
Despicable Me,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2010.0,95,7.6,500851,251513985,69000000,543513985,113.858273
District 9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2009.0,112,7.9,638202,115646235,30000000,210819611,63.13678
Django Unchained,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2012.0,165,8.4,1357682,162805434,100000000,425368238,82.121691
Drive,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2011.0,100,7.8,571571,35061555,15000000,78054825,49.294864
E.T. the Extra-Terrestrial,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1982.0,115,7.8,372490,435110554,10500000,792910554,56.105798
Eastern Promises,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2007.0,100,7.6,227760,17114882,51500000,55112356,35.481169
Edge of Tomorrow,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2014.0,113,7.9,600004,100206256,178000000,370541256,79.456485
Eternal Sunshine of the Spotless Mind,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,2004.0,108,8.3,911664,34400301,20000000,72258126,56.481487
Ex Machina,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2014.0,108,7.7,474141,25442958,15000000,36869414,95.130041
Fantasia,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,1940.0,125,7.7,88662,76408097,2280000,83320000,32.875469
Fantastic Mr. Fox,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2009.0,87,7.9,199696,21002919,40000000,46471023,41.258956
Fight Club,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1999.0,139,8.8,1854740,37030102,63000000,100853753,146.757391
Finding Nemo,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2003.0,100,8.1,949565,380843261,94000000,940335536,85.688789
Flipped,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2010.0,90,7.7,81446,1752214,14000000,1755212,24.210698
Ghostbusters,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1984.0,105,7.8,355413,238632124,144000000,229147509,66.21806
Goldfinger,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1964.0,110,7.7,174119,51081062,2500000,124881062,47.812466
Gone Girl,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2014.0,149,8.1,859695,167767189,61000000,369330363,143.041543
