class,canonicalcategory,category,film,name,nominees,winner,detail,multifilmnomination
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Noose,Richard Barthelmess,Richard Barthelmess,False,Nickie Elkins,True
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Patent Leather Kid,Richard Barthelmess,Richard Barthelmess,False,The Patent Leather Kid,True
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Last Command,Emil Jannings,Emil Jannings,True,General Dolgorucki [Grand Duke Sergius Alexander],True
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Way of All Flesh,Emil Jannings,Emil Jannings,True,August Schilling,True
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,A Ship Comes In,Louise Dresser,Louise Dresser,False,Mrs. Pleznik,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,7th Heaven,Janet Gaynor,Janet Gaynor,True,Diane,True
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Street Angel,Janet Gaynor,Janet Gaynor,True,Angela,True
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Sunrise,Janet Gaynor,Janet Gaynor,True,The Wife,True
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Sadie Thompson,Gloria Swanson,Gloria Swanson,False,Sadie Thompson,nan
Production,ART DIRECTION,ART DIRECTION,Sunrise,Rochus Gliese,Rochus Gliese,False,nan,nan
Production,ART DIRECTION,ART DIRECTION,The Dove,William Cameron Menzies,William Cameron Menzies,True,nan,True
Production,ART DIRECTION,ART DIRECTION,Tempest,William Cameron Menzies,William Cameron Menzies,True,nan,True
Production,ART DIRECTION,ART DIRECTION,7th Heaven,Harry Oliver,Harry Oliver,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Devil Dancer,George Barnes,George Barnes,False,nan,True
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Magic Flame,George Barnes,George Barnes,False,nan,True
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Sadie Thompson,George Barnes,George Barnes,False,nan,True
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Sunrise,"Charles Rosher, Karl Struss","Charles Rosher, Karl Struss",True,nan,nan
Directing,DIRECTING (Comedy Picture),DIRECTING (Comedy Picture),Two Arabian Knights,Lewis Milestone,Lewis Milestone,True,nan,nan
Directing,DIRECTING (Comedy Picture),DIRECTING (Comedy Picture),Speedy,Ted Wilde,Ted Wilde,False,nan,nan
Directing,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),7th Heaven,Frank Borzage,Frank Borzage,True,nan,nan
Directing,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),Sorrell and Son,Herbert Brenon,Herbert Brenon,False,nan,nan
Directing,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),The Crowd,King Vidor,King Vidor,False,nan,nan
Production,VISUAL EFFECTS,ENGINEERING EFFECTS,nan,Ralph Hammeras,Ralph Hammeras,False,nan,nan
Production,VISUAL EFFECTS,ENGINEERING EFFECTS,Wings,Roy Pomeroy,Roy Pomeroy,True,nan,nan
Production,VISUAL EFFECTS,ENGINEERING EFFECTS,nan,Nugent Slaughter,Nugent Slaughter,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PICTURE,The Racket,The Caddo Company,The Caddo Company,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PICTURE,7th Heaven,Fox,Fox,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PICTURE,Wings,Paramount Famous Lasky,Paramount Famous Lasky,True,nan,nan
Title,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Sunrise,Fox,Fox,True,nan,nan
Title,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,The Crowd,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,False,nan,nan
Title,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Chang,Paramount Famous Lasky,Paramount Famous Lasky,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),The Jazz Singer,Alfred Cohn,Alfred Cohn,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),Glorious Betsy,Anthony Coldeway,Anthony Coldeway,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),7th Heaven,Benjamin Glazer,Benjamin Glazer,True,nan,nan
Writing,WRITING (Original Story),WRITING (Original Story),The Last Command,Lajos Biro,Lajos Biro,False,nan,nan
Writing,WRITING (Original Story),WRITING (Original Story),Underworld,Ben Hecht,Ben Hecht,True,nan,nan
Writing,WRITING (Title Writing),WRITING (Title Writing),The Private Life of Helen of Troy,Gerald Duffy,Gerald Duffy,False,nan,nan
Writing,WRITING (Title Writing),WRITING (Title Writing),nan,Joseph Farnham,Joseph Farnham,True,nan,nan
Writing,WRITING (Title Writing),WRITING (Title Writing),nan,"George Marion, Jr.",George Marion Jr.,False,nan,nan
Special,SPECIAL AWARD,SPECIAL AWARD,The Jazz Singer,nan,Warner Bros.,True,nan,nan
Special,SPECIAL AWARD,SPECIAL AWARD,The Circus,nan,Charles Chaplin,True,nan,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,Thunderbolt,George Bancroft,George Bancroft,False,Thunderbolt Jim Lang,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,In Old Arizona,Warner Baxter,Warner Baxter,True,The Cisco Kid,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,Alibi,Chester Morris,Chester Morris,False,"No. 1065, Chick Williams",nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Valiant,Paul Muni,Paul Muni,False,James Dyke,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Patriot,Lewis Stone,Lewis Stone,False,Count Pahlen,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Madame X,Ruth Chatterton,Ruth Chatterton,False,Jacqueline Floriot,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Barker,Betty Compson,Betty Compson,False,Carrie,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Letter,Jeanne Eagels,Jeanne Eagels,False,Leslie Crosbie,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Divine Lady,Corinne Griffith,Corinne Griffith,False,"Emma Hart, Lady Hamilton",nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Broadway Melody,Bessie Love,Bessie Love,False,Hank Mahoney,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Coquette,Mary Pickford,Mary Pickford,True,Norma Besant,nan
Production,ART DIRECTION,ART DIRECTION,The Patriot,Hans Dreier,Hans Dreier,False,nan,nan
Production,ART DIRECTION,ART DIRECTION,The Bridge of San Luis Rey,Cedric Gibbons,Cedric Gibbons,True,nan,nan
Production,ART DIRECTION,ART DIRECTION,Dynamite,Mitchell Leisen,Mitchell Leisen,False,nan,nan
Production,ART DIRECTION,ART DIRECTION,Alibi,William Cameron Menzies,William Cameron Menzies,False,nan,True
Production,ART DIRECTION,ART DIRECTION,The Awakening,William Cameron Menzies,William Cameron Menzies,False,nan,True
Production,ART DIRECTION,ART DIRECTION,Street Angel,Harry Oliver,Harry Oliver,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Our Dancing Daughters,George Barnes,George Barnes,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,White Shadows in the South Seas,Clyde De Vinna,Clyde De Vinna,True,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,In Old Arizona,Arthur Edeson,Arthur Edeson,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Four Devils,Ernest Palmer,Ernest Palmer,False,nan,True
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Street Angel,Ernest Palmer,Ernest Palmer,False,nan,True
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Divine Lady,John Seitz,John Seitz,False,nan,nan
Directing,DIRECTING,DIRECTING,Madame X,Lionel Barrymore,Lionel Barrymore,False,nan,nan
Directing,DIRECTING,DIRECTING,The Broadway Melody,Harry Beaumont,Harry Beaumont,False,nan,nan
Directing,DIRECTING,DIRECTING,In Old Arizona,Irving Cummings,Irving Cummings,False,nan,nan
Directing,DIRECTING,DIRECTING,The Divine Lady,Frank Lloyd,Frank Lloyd,True,nan,nan
Directing,DIRECTING,DIRECTING,Drag,Frank Lloyd,Frank Lloyd,False,nan,True
Directing,DIRECTING,DIRECTING,Weary River,Frank Lloyd,Frank Lloyd,False,nan,True
Directing,DIRECTING,DIRECTING,The Patriot,Ernst Lubitsch,Ernst Lubitsch,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PICTURE,Alibi,Feature Productions,Feature Productions,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PICTURE,In Old Arizona,Fox,Fox,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PICTURE,The Broadway Melody,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,True,nan,nan
Title,BEST PICTURE,OUTSTANDING PICTURE,Hollywood Revue,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PICTURE,The Patriot,Paramount Famous Lasky,Paramount Famous Lasky,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING,In Old Arizona,Tom Barry,Tom Barry,False,nan,True
Writing,WRITING (Adapted Screenplay),WRITING,The Valiant,Tom Barry,Tom Barry,False,nan,True
Writing,WRITING (Adapted Screenplay),WRITING,The Cop,Elliott Clawson,Elliott Clawson,False,nan,True
Writing,WRITING (Adapted Screenplay),WRITING,The Leatherneck,Elliott Clawson,Elliott Clawson,False,nan,True
Writing,WRITING (Adapted Screenplay),WRITING,Sal of Singapore,Elliott Clawson,Elliott Clawson,False,nan,True
Writing,WRITING (Adapted Screenplay),WRITING,Skyscraper,Elliott Clawson,Elliott Clawson,False,nan,True
Writing,WRITING (Adapted Screenplay),WRITING,The Last of Mrs. Cheyney,Hans Kraly,Hans Kraly,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING,The Patriot,Hans Kraly,Hans Kraly,True,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING,Our Dancing Daughters,Josephine Lovett,Josephine Lovett,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING,A Woman of Affairs,Bess Meredyth,Bess Meredyth,False,nan,True
Writing,WRITING (Adapted Screenplay),WRITING,Wonder of Women,Bess Meredyth,Bess Meredyth,False,nan,True
Acting,ACTOR IN A LEADING ROLE,ACTOR,Disraeli,George Arliss,George Arliss,True,Benjamin Disraeli,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Green Goddess,George Arliss,George Arliss,False,"Oxonian, the Rajah of Rukh",nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Big House,Wallace Beery,Wallace Beery,False,'Machine Gun' Butch Schmidt,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Big Pond,Maurice Chevalier,Maurice Chevalier,False,Pierre Mirande,True
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Love Parade,Maurice Chevalier,Maurice Chevalier,False,Count Alfred Renard,True
Acting,ACTOR IN A LEADING ROLE,ACTOR,Bulldog Drummond,Ronald Colman,Ronald Colman,False,Hugh 'Bulldog' Drummond,True
Acting,ACTOR IN A LEADING ROLE,ACTOR,Condemned,Ronald Colman,Ronald Colman,False,Michel,True
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Rogue Song,Lawrence Tibbett,Lawrence Tibbett,False,Yegor,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Devil's Holiday,Nancy Carroll,Nancy Carroll,False,Hallie Hobart,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Sarah and Son,Ruth Chatterton,Ruth Chatterton,False,Sarah Storm,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Anna Christie,Greta Garbo,Greta Garbo,False,Anna Christie,True
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Romance,Greta Garbo,Greta Garbo,False,Madame Rita Cavallini,True
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Divorcee,Norma Shearer,Norma Shearer,True,Jerry,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Their Own Desire,Norma Shearer,Norma Shearer,False,Lucia 'Lally' Marlett,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Trespasser,Gloria Swanson,Gloria Swanson,False,Marion Donnell,nan
Production,ART DIRECTION,ART DIRECTION,Bulldog Drummond,(William Cameron Menzies),William Cameron Menzies,False,nan,nan
Production,ART DIRECTION,ART DIRECTION,King of Jazz,Herman Rosse,Herman Rosse,True,nan,nan
Production,ART DIRECTION,ART DIRECTION,The Love Parade,(Hans Dreier),Hans Dreier,False,nan,nan
Production,ART DIRECTION,ART DIRECTION,Sally,(Jack Okey),Jack Okey,False,nan,nan
Production,ART DIRECTION,ART DIRECTION,The Vagabond King,(Hans Dreier),Hans Dreier,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,All Quiet on the Western Front,(Arthur Edeson),Arthur Edeson,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Anna Christie,(William Daniels),William Daniels,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Hell's Angels,"(Gaetano Gaudio), (Harry Perry)","Gaetano Gaudio, Harry Perry",False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Love Parade,(Victor Milner),Victor Milner,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,With Byrd at the South Pole,"Joseph T. Rucker, Willard Van Der Veer","Joseph T. Rucker, Willard Van Der Veer",True,nan,nan
Directing,DIRECTING,DIRECTING,Anna Christie,Clarence Brown,Clarence Brown,False,nan,True
Directing,DIRECTING,DIRECTING,Romance,Clarence Brown,Clarence Brown,False,nan,True
Directing,DIRECTING,DIRECTING,The Divorcee,Robert Leonard,Robert Leonard,False,nan,nan
Directing,DIRECTING,DIRECTING,The Love Parade,Ernst Lubitsch,Ernst Lubitsch,False,nan,nan
Directing,DIRECTING,DIRECTING,All Quiet on the Western Front,Lewis Milestone,Lewis Milestone,True,nan,nan
Directing,DIRECTING,DIRECTING,Hallelujah,King Vidor,King Vidor,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PRODUCTION,All Quiet on the Western Front,Universal,Universal,True,nan,nan
Title,BEST PICTURE,OUTSTANDING PRODUCTION,The Big House,Cosmopolitan,Cosmopolitan,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PRODUCTION,Disraeli,Warner Bros.,Warner Bros.,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PRODUCTION,The Divorcee,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PRODUCTION,The Love Parade,Paramount Famous Lasky,Paramount Famous Lasky,False,nan,nan
Production,SOUND RECORDING,SOUND RECORDING,The Big House,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director","Metro-Goldwyn-Mayer, Douglas Shearer",True,nan,nan
Production,SOUND RECORDING,SOUND RECORDING,The Case of Sergeant Grischa,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)","RKO Radio, John Tribby",False,nan,nan
Production,SOUND RECORDING,SOUND RECORDING,The Love Parade,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)","Paramount Famous Lasky, Franklin Hansen",False,nan,nan
Production,SOUND RECORDING,SOUND RECORDING,Raffles,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)","United Artists, Oscar Lagerstrom",False,nan,nan
Production,SOUND RECORDING,SOUND RECORDING,Song of the Flame,"(First National Studio Sound Department, George Groves, Sound Director)","First National, George Groves",False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING,All Quiet on the Western Front,"(George Abbott), (Maxwell Anderson), (Del Andrews)","George Abbott, Maxwell Anderson, Del Andrews",False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING,The Big House,Frances Marion,Frances Marion,True,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING,Disraeli,(Julian Josephson),Julian Josephson,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING,The Divorcee,(John Meehan),John Meehan,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING,Street of Chance,(Howard Estabrook),Howard Estabrook,False,nan,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,A Free Soul,Lionel Barrymore,Lionel Barrymore,True,Stephen Ashe,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,Skippy,Jackie Cooper,Jackie Cooper,False,Skippy Skinner,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,Cimarron,Richard Dix,Richard Dix,False,Yancey Cravat,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Royal Family of Broadway,Fredric March,Fredric March,False,Tony Cavendish,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Front Page,Adolphe Menjou,Adolphe Menjou,False,Walter Burns,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Morocco,Marlene Dietrich,Marlene Dietrich,False,Amy Jolly,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Min and Bill,Marie Dressler,Marie Dressler,True,Min,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Cimarron,Irene Dunne,Irene Dunne,False,Sabra Cravat,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Holiday,Ann Harding,Ann Harding,False,Linda Seton,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,A Free Soul,Norma Shearer,Norma Shearer,False,Jan Ashe,nan
Production,ART DIRECTION,ART DIRECTION,Cimarron,Max Rée,Max Rée,True,nan,nan
Production,ART DIRECTION,ART DIRECTION,Just Imagine,"Stephen Goosson, Ralph Hammeras","Stephen Goosson, Ralph Hammeras",False,nan,nan
Production,ART DIRECTION,ART DIRECTION,Morocco,Hans Dreier,Hans Dreier,False,nan,nan
Production,ART DIRECTION,ART DIRECTION,Svengali,Anton Grot,Anton Grot,False,nan,nan
Production,ART DIRECTION,ART DIRECTION,Whoopee!,Richard Day,Richard Day,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Cimarron,Edward Cronjager,Edward Cronjager,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Morocco,Lee Garmes,Lee Garmes,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Right to Love,Charles Lang,Charles Lang,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Svengali,"Barney ""Chick"" McGill","Barney ""Chick"" McGill",False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Tabu,Floyd Crosby,Floyd Crosby,True,nan,nan
Directing,DIRECTING,DIRECTING,Cimarron,Wesley Ruggles,Wesley Ruggles,False,nan,nan
Directing,DIRECTING,DIRECTING,A Free Soul,Clarence Brown,Clarence Brown,False,nan,nan
Directing,DIRECTING,DIRECTING,The Front Page,Lewis Milestone,Lewis Milestone,False,nan,nan
Directing,DIRECTING,DIRECTING,Morocco,Josef Von Sternberg,Josef Von Sternberg,False,nan,nan
Directing,DIRECTING,DIRECTING,Skippy,Norman Taurog,Norman Taurog,True,nan,nan
Title,BEST PICTURE,OUTSTANDING PRODUCTION,Cimarron,RKO Radio,RKO Radio,True,nan,nan
Title,BEST PICTURE,OUTSTANDING PRODUCTION,East Lynne,Fox,Fox,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PRODUCTION,The Front Page,The Caddo Company,The Caddo Company,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PRODUCTION,Skippy,Paramount Publix,Paramount Publix,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PRODUCTION,Trader Horn,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,False,nan,nan
Production,SOUND RECORDING,SOUND RECORDING,nan,Samuel Goldwyn - United Artists Studio Sound Department,Samuel Goldwyn - United Artists,False,nan,nan
Production,SOUND RECORDING,SOUND RECORDING,nan,Metro-Goldwyn-Mayer Studio Sound Department,Metro-Goldwyn-Mayer,False,nan,nan
Production,SOUND RECORDING,SOUND RECORDING,nan,Paramount Publix Studio Sound Department,Paramount Publix,True,nan,nan
Production,SOUND RECORDING,SOUND RECORDING,nan,RKO Radio Studio Sound Department,RKO Radio,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),Cimarron,Howard Estabrook,Howard Estabrook,True,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),The Criminal Code,"Seton I. Miller, Fred Niblo, Jr.","Seton I. Miller, Fred Niblo Jr.",False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),Holiday,Horace Jackson,Horace Jackson,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),Little Caesar,"Francis Faragoh, Robert N. Lee","Francis Faragoh, Robert N. Lee",False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),Skippy,"Joseph L. Mankiewicz, Sam Mintz","Joseph L. Mankiewicz, Sam Mintz",False,nan,nan
Writing,WRITING (Original Story),WRITING (Original Story),The Dawn Patrol,John Monk Saunders,John Monk Saunders,True,nan,nan
Writing,WRITING (Original Story),WRITING (Original Story),The Doorway to Hell,Rowland Brown,Rowland Brown,False,nan,nan
Writing,WRITING (Original Story),WRITING (Original Story),Laughter,"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart","Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",False,nan,nan
Writing,WRITING (Original Story),WRITING (Original Story),The Public Enemy,"John Bright, Kubec Glasmon","John Bright, Kubec Glasmon",False,nan,nan
Writing,WRITING (Original Story),WRITING (Original Story),Smart Money,"Lucien Hubbard, Joseph Jackson","Lucien Hubbard, Joseph Jackson",False,nan,nan
SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class I),SCIENTIFIC OR TECHNICAL AWARD (Class I),nan,nan,"ELECTRICAL RESEARCH PRODUCTS INC., RCA-PHOTOPHONE INC. and RKO RADIO PICTURES INC.",True,Sound,nan
SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class II),SCIENTIFIC OR TECHNICAL AWARD (Class II),nan,nan,Fox Film Corp.,True,Sound,nan
SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),SCIENTIFIC OR TECHNICAL AWARD (Class III),nan,nan,Electrical Research Products Inc.,True,Sound,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Champ,Wallace Beery,Wallace Beery,True,Champ,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Guardsman,Alfred Lunt,Alfred Lunt,False,The Actor,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,Dr. Jekyll and Mr. Hyde,Fredric March,Fredric March,True,Dr. Henry Jekyll/Mr. Hyde,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Emma,Marie Dressler,Marie Dressler,False,Emma,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Guardsman,Lynn Fontanne,Lynn Fontanne,False,The Actress,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Sin of Madelon Claudet,Helen Hayes,Helen Hayes,True,Madelon,nan
Production,ART DIRECTION,ART DIRECTION,À Nous la Liberté,Lazare Meerson,Lazare Meerson,False,nan,nan
Production,ART DIRECTION,ART DIRECTION,Arrowsmith,Richard Day,Richard Day,False,nan,nan
Production,ART DIRECTION,ART DIRECTION,Transatlantic,Gordon Wiles,Gordon Wiles,True,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Arrowsmith,Ray June,Ray June,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Dr. Jekyll and Mr. Hyde,Karl Struss,Karl Struss,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Shanghai Express,Lee Garmes,Lee Garmes,True,nan,nan
Directing,DIRECTING,DIRECTING,Bad Girl,Frank Borzage,Frank Borzage,True,nan,nan
Directing,DIRECTING,DIRECTING,The Champ,King Vidor,King Vidor,False,nan,nan
Directing,DIRECTING,DIRECTING,Shanghai Express,Josef Von Sternberg,Josef Von Sternberg,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PRODUCTION,Arrowsmith,Samuel Goldwyn Productions,Samuel Goldwyn Productions,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PRODUCTION,Bad Girl,Fox,Fox,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PRODUCTION,The Champ,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PRODUCTION,Five Star Final,First National,First National,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PRODUCTION,Grand Hotel,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,True,nan,nan
Title,BEST PICTURE,OUTSTANDING PRODUCTION,One Hour with You,Paramount Publix,Paramount Publix,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PRODUCTION,Shanghai Express,Paramount Publix,Paramount Publix,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PRODUCTION,The Smiling Lieutenant,Paramount Publix,Paramount Publix,False,nan,nan
Title,SHORT FILM (Animated),SHORT SUBJECT (Cartoon),Flowers and Trees,"Walt Disney, Producer",Walt Disney,True,nan,nan
Title,SHORT FILM (Animated),SHORT SUBJECT (Cartoon),It's Got Me Again,"Leon Schlesinger, Producer",Leon Schlesinger,False,nan,nan
Title,SHORT FILM (Animated),SHORT SUBJECT (Cartoon),Mickey's Orphans,"Walt Disney, Producer",Walt Disney,False,nan,nan
Title,SHORT SUBJECT (Comedy),SHORT SUBJECT (Comedy),The Loud Mouth,"Mack Sennett, Producer",Mack Sennett,False,nan,nan
Title,SHORT SUBJECT (Comedy),SHORT SUBJECT (Comedy),The Music Box,"Hal Roach, Producer",Hal Roach,True,nan,nan
Title,SHORT SUBJECT (Comedy),SHORT SUBJECT (Comedy),Scratch-As-Catch-Can,RKO Radio,RKO Radio,False,nan,nan
Title,SHORT SUBJECT (Comedy),SHORT SUBJECT (Comedy),Stout Hearts and Willing Hands,RKO Radio,RKO Radio,False,nan,nan
Title,SHORT SUBJECT (Novelty),SHORT SUBJECT (Novelty),Screen Souvenirs,Paramount Publix,Paramount Publix,False,nan,nan
Title,SHORT SUBJECT (Novelty),SHORT SUBJECT (Novelty),Swing High,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,False,nan,nan
Title,SHORT SUBJECT (Novelty),SHORT SUBJECT (Novelty),Wrestling Swordfish,"Mack Sennett, Producer",Mack Sennett,True,nan,nan
Production,SOUND RECORDING,SOUND RECORDING,nan,Warner Bros.-First National Studio Sound Department,"Warner Bros., First National",False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),Arrowsmith,Sidney Howard,Sidney Howard,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),Bad Girl,Edwin Burke,Edwin Burke,True,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),Dr. Jekyll and Mr. Hyde,"Percy Heath, Samuel Hoffenstein","Percy Heath, Samuel Hoffenstein",False,nan,nan
Writing,WRITING (Original Story),WRITING (Original Story),The Champ,Frances Marion,Frances Marion,True,nan,nan
Writing,WRITING (Original Story),WRITING (Original Story),Lady and Gent,"Grover Jones, William Slavens McNutt","Grover Jones, William Slavens McNutt",False,nan,nan
Writing,WRITING (Original Story),WRITING (Original Story),The Star Witness,Lucien Hubbard,Lucien Hubbard,False,nan,nan
