class,canonicalcategory,category,film,name,nominees,winner,detail,multifilmnomination
Writing,WRITING (Adapted Screenplay),WRITING (Screenplay Based on Material from Another Medium),Dangerous Liaisons,Christopher Hampton,Christopher Hampton,True,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Screenplay Based on Material from Another Medium),Gorillas in the Mist,"Screenplay by Anna Hamilton Phelan; Story by Anna Hamilton Phelan, Tab Murphy","Anna Hamilton Phelan, Tab Murphy",False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Screenplay Based on Material from Another Medium),Little Dorrit,Christine Edzard,Christine Edzard,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Screenplay Based on Material from Another Medium),The Unbearable Lightness of Being,"Jean-Claude Carrière, Philip Kaufman","Jean-Claude Carrière, Philip Kaufman",False,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Screenplay Written Directly for the Screen),Big,"Gary Ross, Anne Spielberg","Gary Ross, Anne Spielberg",False,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Screenplay Written Directly for the Screen),Bull Durham,Ron Shelton,Ron Shelton,False,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Screenplay Written Directly for the Screen),A Fish Called Wanda,"Screenplay by John Cleese; Story by John Cleese, Charles Crichton","John Cleese, Charles Crichton",False,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Screenplay Written Directly for the Screen),Rain Man,"Screenplay by Ronald Bass, Barry Morrow; Story by Barry Morrow","Ronald Bass, Barry Morrow",True,nan,nan
Writing,WRITING (Original Screenplay),WRITING (Screenplay Written Directly for the Screen),Running on Empty,Naomi Foner,Naomi Foner,False,nan,nan
Special,SPECIAL ACHIEVEMENT AWARD,SPECIAL ACHIEVEMENT AWARD,Who Framed Roger Rabbit,nan,Richard Williams,True,nan,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Henry V,Kenneth Branagh,Kenneth Branagh,False,Henry V,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Born on the Fourth of July,Tom Cruise,Tom Cruise,False,Ron Kovic,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,My Left Foot,Daniel Day Lewis,Daniel Day Lewis,True,Christy Brown,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Driving Miss Daisy,Morgan Freeman,Morgan Freeman,False,Hoke Colburn,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Dead Poets Society,Robin Williams,Robin Williams,False,John Keating,nan
Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Do the Right Thing,Danny Aiello,Danny Aiello,False,Sal,nan
Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Driving Miss Daisy,Dan Aykroyd,Dan Aykroyd,False,Boolie Werthan,nan
Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,A Dry White Season,Marlon Brando,Marlon Brando,False,McKenzie,nan
Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Crimes and Misdemeanors,Martin Landau,Martin Landau,False,Judah Rosenthal,nan
Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Glory,Denzel Washington,Denzel Washington,True,Trip,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Camille Claudel,Isabelle Adjani,Isabelle Adjani,False,Camille Claudel,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Shirley Valentine,Pauline Collins,Pauline Collins,False,Shirley Valentine,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Music Box,Jessica Lange,Jessica Lange,False,Ann Talbot,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,The Fabulous Baker Boys,Michelle Pfeiffer,Michelle Pfeiffer,False,Susie Diamond,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Driving Miss Daisy,Jessica Tandy,Jessica Tandy,True,Daisy Werthan,nan
Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,My Left Foot,Brenda Fricker,Brenda Fricker,True,Mrs. Brown,nan
Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,"Enemies, A Love Story",Anjelica Huston,Anjelica Huston,False,Tamara,nan
Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,"Enemies, A Love Story",Lena Olin,Lena Olin,False,Masha,nan
Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Steel Magnolias,Julia Roberts,Julia Roberts,False,Shelby Eatenton,nan
Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Parenthood,Dianne Wiest,Dianne Wiest,False,Helen,nan
Production,ART DIRECTION,ART DIRECTION,The Abyss,Art Direction: Leslie Dilley; Set Decoration: Anne Kuljian,"Leslie Dilley, Anne Kuljian",False,nan,nan
