,Released_Year,Runtime,IMDB_Rating,No_of_Votes,Gross,oscar_nominations,oscar_wins,best_picture_nom,best_picture_win
Released_Year,1.0,-0.01788357279969775,-0.17889587338316748,0.2000738168881009,0.23465436947180027,-0.22494299011595756,-0.2708682736117833,-0.16139439169638137,-0.242407432785595
Runtime,-0.01788357279969775,1.0,0.2576401101247069,0.21292748136915515,0.16937994626889066,0.3398951769975501,0.31859838004637947,0.25501334940944415,0.23314133456889874
IMDB_Rating,-0.17889587338316748,0.2576401101247069,1.0,0.6092387477062343,0.13085660767247445,0.22744713861808397,0.24597910240952345,0.1881851173320971,0.20760161845530833
No_of_Votes,0.2000738168881009,0.21292748136915515,0.6092387477062343,1.0,0.560954953984965,0.24960649528820456,0.21417195733305178,0.1750556492004257,0.13076901848601705
Gross,0.23465436947180027,0.16937994626889066,0.13085660767247445,0.560954953984965,1.0,0.23069389777307872,0.21046589757588047,0.11845781772051313,0.053167649022391975
oscar_nominations,-0.22494299011595756,0.3398951769975501,0.22744713861808397,0.24960649528820456,0.23069389777307872,1.0,0.7881193960083811,0.8200541554742248,0.5249328177212735
oscar_wins,-0.2708682736117833,0.31859838004637947,0.24597910240952345,0.21417195733305178,0.21046589757588047,0.7881193960083811,1.0,0.6500183628076734,0.7261495873336533
best_picture_nom,-0.16139439169638137,0.25501334940944415,0.1881851173320971,0.1750556492004257,0.11845781772051313,0.8200541554742248,0.6500183628076734,1.0,0.4787433385136847
best_picture_win,-0.242407432785595,0.23314133456889874,0.20760161845530833,0.13076901848601705,0.053167649022391975,0.5249328177212735,0.7261495873336533,0.4787433385136847,1.0
