actor,total_films,mean_rating,mean_gross,wins
Bill Paxton,3,7.8,102141802.33333333,2
Mark Hamill,3,8.533333333333333,307446872.0,7
Billy Crudup,3,8.1,33722386.666666664,1
Marion Cotillard,3,7.633333333333333,4063188.3333333335,2
Lee Unkrich,3,8.033333333333333,305537232.0,2
Claude Rains,3,8.166666666666666,7029520.0,4
Grace Kelly,3,8.166666666666666,15408958.333333334,4
Lee J. Cobb,3,8.366666666666667,82288715.0,10
Diane Kruger,3,7.933333333333334,40532893.333333336,1
Brenda Blethyn,3,7.866666666666667,34249815.666666664,1
Dianne Wiest,3,7.833333333333333,45586081.666666664,3
Brendan Gleeson,3,7.966666666666666,36273636.666666664,0
Albert Brooks,3,8.066666666666666,148055796.66666666,1
Jon Voight,3,7.8999999999999995,39759294.666666664,3
Jack Warden,3,7.866666666666667,51592503.666666664,5
Chris Cooper,3,7.8,58796456.333333336,1
Dakota Fanning,3,7.7,64503285.0,0
George C. Scott,3,8.1,23419967.333333332,9
James Stewart,3,8.266666666666667,16521437.666666666,1
Humphrey Bogart,3,8.133333333333333,2191559.3333333335,7
Chloë Grace Moretz,3,7.766666666666667,27323217.333333332,0
Gena Rowlands,3,7.866666666666667,29154451.0,0
Gene Wilder,3,7.833333333333333,69933333.33333333,0
Jon Bernthal,3,7.766666666666666,90779727.66666667,2
Chris Hemsworth,3,8.133333333333333,340273798.3333333,0
Vin Diesel,3,7.866666666666667,248716335.33333334,0
James Caan,3,8.333333333333334,65916752.666666664,4
Val Kilmer,3,7.966666666666666,45407794.333333336,0
Chris Pine,3,7.733333333333333,171123710.0,1
Chris Pratt,3,7.766666666666667,326916797.6666667,0
Charlton Heston,3,8.033333333333333,36777695.0,12
Javier Bardem,3,7.933333333333334,126910082.33333333,6
Jay Baruchel,3,8.0,165025452.66666666,4
Jean-Louis Trintignant,3,8.0,3775039.3333333335,1
Christopher Lloyd,3,8.0,161854044.0,5
Charles Bronson,3,8.133333333333333,7442169.333333333,0
Jeremy Renner,3,7.866666666666667,252542181.66666666,1
Ewan McGregor,3,7.933333333333334,63799177.333333336,2
Cary Grant,3,8.033333333333333,12404529.333333334,1
Cary Elwes,3,7.8,37896061.0,3
Winona Ryder,3,7.8999999999999995,55110946.666666664,1
Gerard Butler,3,7.833333333333333,201733031.33333334,0
Woody Allen,3,7.933333333333334,34384900.666666664,4
John Cazale,3,7.966666666666666,34466442.666666664,6
John Malkovich,3,7.733333333333333,26599304.333333332,3
John Musker,3,7.733333333333333,192550247.33333334,4
John Turturro,3,7.7,18915645.333333332,0
Colin Firth,3,8.0,142095605.66666666,7
Stellan Skarsgård,3,7.966666666666668,81663306.33333333,3
Robert Redford,3,8.066666666666668,110836296.33333333,15
Orson Welles,3,8.133333333333333,1424161.3333333333,2
Nicolas Cage,3,7.633333333333333,31488932.0,1
Sam Rockwell,3,7.933333333333334,26038857.666666668,2
