Genre_primary,A,Approved,G,Other,PG,PG-13,R,U,UA
Action,37,2,1,0,1,6,12,13,55
Adventure,8,2,0,0,5,1,6,25,11
Animation,1,0,2,0,5,3,1,47,4
Biography,16,0,0,0,2,6,14,22,13
Comedy,17,2,5,0,3,7,27,29,14
Crime,40,1,0,0,0,1,21,4,7
Drama,42,7,1,1,4,13,48,38,37
Family,0,0,0,0,0,0,0,2,0
Film-Noir,0,1,0,0,0,0,0,0,0
Horror,5,0,0,0,0,1,2,0,1
Mystery,5,0,0,0,0,0,0,1,1
Western,2,0,0,0,0,0,0,2,0
