,Released_Year,Runtime,IMDB_Rating,Meta_score,No_of_Votes,Gross,_log_gross,_log_votes
Released_Year,1.0,-0.01788357279969775,-0.17889587338316748,-0.27265917722589444,0.2000738168881009,0.23465436947180027,0.18479824104532852,0.23854673312435007
Runtime,-0.01788357279969775,1.0,0.2576401101247069,-0.0059477663680640004,0.21292748136915515,0.16937994626889066,0.17368659820564492,0.16264883679133255
IMDB_Rating,-0.17889587338316748,0.2576401101247069,1.0,0.2837452702618575,0.6092387477062343,0.13085660767247445,0.04735680013272324,0.4675798330752611
Meta_score,-0.27265917722589444,-0.0059477663680640004,0.2837452702618575,1.0,0.028578270620717532,-0.014663267036396834,-0.014358228913231078,0.0008498382837913557
No_of_Votes,0.2000738168881009,0.21292748136915515,0.6092387477062343,0.028578270620717532,1.0,0.560954953984965,0.5165513000696693,0.8719285396305585
Gross,0.23465436947180027,0.16937994626889066,0.13085660767247445,-0.014663267036396834,0.560954953984965,1.0,0.6670656600835796,0.53438220518897
_log_gross,0.18479824104532852,0.17368659820564492,0.04735680013272324,-0.014358228913231078,0.5165513000696693,0.6670656600835796,1.0,0.6028114804632133
_log_votes,0.23854673312435007,0.16264883679133255,0.4675798330752611,0.0008498382837913557,0.8719285396305585,0.53438220518897,0.6028114804632133,1.0
