,0
imdb_mean_win,8.0255230125523
imdb_mean_nowin,7.8896624472573835
gross_mean_win,113305987.42677824
gross_mean_nowin,61076429.10759494
votes_mean_win,461916.27615062764
votes_mean_nowin,298605.8312236287
